# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-nounk-P	P2.2	encode	no-unknown	984452.6	1.019	0.229	0.335		1.461	0.229	0.337
codec-nounk-P	P4.1	decode	no-unknown	265560.6	0.994	0.824	0.904	0.854	1.096	0.821	0.905
codec-nounk-P	P5.2	decode	no-unknown	1667.7	0.057	0.987	0.990	1.000	1.003	0.994	1.001
codec-nounk-P	P5.3	encode	no-unknown	40194.1	0.984	0.990	1.077		1.087	0.988	1.050
codec-nounk-P	P2.4	encode	no-unknown	654724.1	1.013	0.315	0.410		1.300	0.296	0.402
codec-nounk-P	P2.2/wide	decode-read	no-unknown	2488112.8	1.011	0.878	1.000	0.974	1.139	0.872	0.985
codec-nounk-P	P3.1	decode-read	no-unknown	30246.5	1.039	0.820	0.783	0.792	0.955	0.891	0.823
codec-nounk-P	P1.2/latin1	decode	no-unknown	513231.3	0.941	0.841	0.817	0.839	0.972	0.801	0.782
codec-nounk-P	P1.2	encode	no-unknown	302039.7	1.064	0.181	0.260		1.440	0.182	0.257
codec-nounk-P	P5.4	decode-read	no-unknown	336940.6	0.000	0.984	0.997	0.998	1.013	0.967	0.970
codec-nounk-P	P1.1	decode-read	no-unknown	1282.8	1.075	0.922	0.884	0.885	0.958	0.931	0.890
codec-nounk-P	P2.1	decode	no-unknown	2313.8	0.987	0.808	0.915	0.922	1.133	0.669	0.911
codec-nounk-P	P1.3	decode	no-unknown	7602.1	1.484	1.455	1.465	1.623	1.007	1.461	1.468
codec-nounk-P	P4.1	encode	no-unknown	144848.4	0.996	0.191	0.312		1.632	0.192	0.306
codec-nounk-P	P3.1	decode	no-unknown	22657.4	1.192	0.918	0.870	0.878	0.948	0.904	0.852
codec-nounk-P	P1.2/wide	encode	no-unknown	331413.4	1.077	0.182	0.275		1.513	0.181	0.275
codec-nounk-P	P2.1	encode	no-unknown	1429.4	1.015	0.188	0.323		1.716	0.186	0.321
codec-nounk-P	P6.1	encode	no-unknown	424399.7	1.016	0.177	0.198		1.120	0.180	0.202
codec-nounk-P	P2.5	decode-read	no-unknown	50645.5	0.960	0.838	0.931	0.896	1.111	0.785	0.927
codec-nounk-P	P1.2	decode-read	no-unknown	338579.8	0.907	0.829	0.769	0.775	0.927	0.817	0.760
codec-nounk-P	P4.1	decode-read	no-unknown	223946.5	1.000	0.831	0.910	0.863	1.095	0.833	0.906
codec-nounk-P	P5.3	decode	no-unknown	39750.1	0.002	0.998	1.008	0.982	1.011	1.003	1.005
codec-nounk-P	P1.3	encode	no-unknown	5763.2	1.309	0.322	0.859		2.665	0.325	0.851
codec-nounk-P	P1.2/latin1	encode	no-unknown	330026.2	1.067	0.180	0.269		1.489	0.179	0.262
codec-nounk-P	P5.2	encode	no-unknown	1655.2	0.986	0.948	0.973		1.026	0.948	0.972
codec-nounk-P	P1.2	decode	no-unknown	394458.1	0.891	0.807	0.753	0.751	0.933	0.826	0.790
codec-nounk-P	P4.1	decode-nodrop	no-unknown	213025.5	1.012	0.835	0.899		1.076	0.829	0.889
codec-nounk-P	P6.1	decode	no-unknown	277716.3	1.061	0.630	0.624	0.568	0.990	0.624	0.638
codec-nounk-P	P6.1	decode-nodrop	no-unknown	255250.3	1.055	0.598	0.618		1.033	0.606	0.627
codec-nounk-P	P2.4	decode-read	no-unknown	1790321.1	1.007	0.927	0.774	0.769	0.835	0.929	0.775
codec-nounk-P	P1.1	decode	no-unknown	1248.5	1.052	0.880	0.841	0.845	0.956	0.874	0.837
codec-nounk-P	P2.2	decode	no-unknown	1446820.1	0.987	0.864	0.979	0.966	1.133	0.860	0.977
codec-nounk-P	P2.2/wide	encode	no-unknown	1067185.7	1.016	0.259	0.341		1.314	0.255	0.338
codec-nounk-P	P5.1	decode-read	no-unknown	102.6	0.904	0.904	0.883	0.930	0.977	0.883	0.842
codec-nounk-P	P5.4	encode	no-unknown	337109.8	1.005	1.002	1.010		1.008	1.022	1.002
codec-nounk-P	P2.2/latin1	decode-read	no-unknown	2107986.2	1.005	0.869	0.976	0.958	1.124	0.867	0.984
codec-nounk-P	P2.4	decode	no-unknown	1729034.9	1.006	0.930	0.764	0.753	0.822	0.901	0.767
codec-nounk-P	P2.5	decode	no-unknown	49529.7	0.996	0.818	0.912	0.893	1.115	0.818	0.908
codec-nounk-P	P5.4	decode	no-unknown	352019.1	0.000	0.971	1.008	1.005	1.038	0.975	0.984
codec-nounk-P	P1.2	decode-nodrop	no-unknown	326459.0	0.909	0.754	0.693		0.919	0.746	0.680
codec-nounk-P	P6.1	decode-read	no-unknown	288286.4	1.049	0.699	0.612	0.565	0.875	0.704	0.612
codec-nounk-P	P5.3	decode-read	no-unknown	42678.8	0.002	1.004	0.999	1.016	0.995	1.012	1.030
codec-nounk-P	P2.3	encode	no-unknown	549513.9	1.007	0.250	0.389		1.554	0.254	0.393
codec-nounk-P	P1.2/latin1	decode-read	no-unknown	643330.2	0.925	0.823	0.814	0.825	0.990	0.824	0.811
codec-nounk-P	P2.2/latin1	decode	no-unknown	2047162.0	1.007	0.862	0.980	0.944	1.137	0.858	0.979
codec-nounk-P	P1.2/wide	decode	no-unknown	728247.2	0.940	0.843	0.863	0.877	1.024	0.841	0.866
codec-nounk-P	P5.2	decode-read	no-unknown	1666.1	0.059	0.996	1.001	1.008	1.004	0.998	1.000
