# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned	pinned	C-retain	b	1	12	1065921.9	1013843.8	1182593.8	3428062.3	2955030.4	4110000.3
rpc-pinned	pinned	C-drop	b	1	12	1082031.2	981875.0	1172906.2	3494142.0	2827815.0	3679118.8
rpc-pinned	pinned	D-retain	b	1	12	1135906.2	996687.5	1305437.5	3479720.9	2831362.7	4186437.9
rpc-pinned	pinned	D-drop	b	1	12	1085281.2	965812.5	1189687.5	3416063.3	2826570.8	3890895.0
rpc-pinned	pinned	A	b	8	12	1995546.9	1718781.2	2470718.8	2305294.8	2113845.5	2857995.7
rpc-pinned	pinned	B	b	8	12	1223515.6	1143375.0	1400750.0	2024519.0	1595328.2	2539614.7
rpc-pinned	pinned	C-retain	b	8	12	1043421.9	958937.5	1235250.0	1911456.8	1600991.8	2340621.1
rpc-pinned	pinned	C-drop	b	8	12	1114484.4	1028312.5	1252250.0	1853502.2	1612823.1	2386776.2
rpc-pinned	pinned	D-retain	b	8	12	1094890.6	1037687.5	1189875.0	1845552.7	1650653.7	1989682.8
rpc-pinned	pinned	D-drop	b	8	12	1078531.2	1010218.8	1124968.8	1823867.7	1498287.7	2345189.1
rpc-pinned	pinned	A	b	16	12	2037171.9	1840250.0	2534093.8	2258428.3	2023579.2	2702623.6
rpc-pinned	pinned	B	b	16	12	1233953.1	1089500.0	1673906.2	1996139.8	1760795.7	2242616.8
rpc-pinned	pinned	C-retain	b	16	12	1156921.9	1078437.5	1508718.8	1986973.5	1763434.4	2246663.1
rpc-pinned	pinned	C-drop	b	16	12	1133734.4	1037531.2	1370968.8	1957828.6	1646964.1	2309285.7
rpc-pinned	pinned	D-retain	b	16	12	1156453.1	1038437.5	1432343.8	1902145.3	1721660.6	2240830.2
rpc-pinned	pinned	D-drop	b	16	12	1136718.8	1037031.2	1507812.5	1878424.6	1712365.9	2180752.9
rpc-shipped-nounk	shipped	A	a	1	12	2344890.6	2241781.2	2695781.2	2666782.4	2571407.6	4043114.8
rpc-shipped-nounk	shipped	B	a	1	12	1989781.2	1880968.8	2116531.2	2312578.6	2154741.9	3185737.8
rpc-shipped-nounk	shipped	C-nounk	a	1	12	2653265.6	2220343.8	3486656.2	3141391.7	2434892.2	7747220.3
rpc-shipped-nounk	shipped	D-nounk	a	1	12	2675343.8	2445312.5	3441343.8	3027661.8	2703432.6	4202036.6
rpc-shipped-nounk	shipped	A	a	8	12	2622312.5	2219218.8	3149312.5	2658350.5	2386550.6	3706671.8
rpc-shipped-nounk	shipped	B	a	8	12	2652703.1	2327093.8	2781500.0	2726387.0	2354667.7	3482968.9
rpc-shipped-nounk	shipped	C-nounk	a	8	12	3497515.6	2895718.8	3656750.0	3600774.5	2941934.9	3895153.3
rpc-shipped-nounk	shipped	D-nounk	a	8	12	3429796.9	2960843.8	3604375.0	3482989.0	3172528.3	3779061.8
rpc-shipped-nounk	shipped	A	a	16	12	3064671.9	2671968.8	3314750.0	3084996.5	2692347.9	3994335.1
rpc-shipped-nounk	shipped	B	a	16	12	2881484.4	2474156.2	2990750.0	2928571.8	2517992.2	3400442.6
rpc-shipped-nounk	shipped	C-nounk	a	16	12	3718578.1	3323093.8	3842531.2	3773131.2	3535293.9	4433038.7
rpc-shipped-nounk	shipped	D-nounk	a	16	12	3655515.6	3155500.0	3858062.5	3688244.7	3176951.0	4061243.4
rpc-shipped-nounk	shipped	A	b	1	12	1846968.8	1747031.2	1950218.8	4299072.8	4063808.8	4641645.5
rpc-shipped-nounk	shipped	B	b	1	12	1241406.2	1192468.8	1299906.2	3681190.9	3546114.5	4279591.4
rpc-shipped-nounk	shipped	C-nounk	b	1	12	1056703.1	984875.0	1114625.0	3416448.2	3118656.8	3771916.3
rpc-shipped-nounk	shipped	D-nounk	b	1	12	1118625.0	1037812.5	1187125.0	3511495.4	3278799.8	3845000.2
rpc-shipped-nounk	shipped	A	b	8	12	2001500.0	1776625.0	2208781.2	2424419.7	2304434.1	2910680.2
rpc-shipped-nounk	shipped	B	b	8	12	1329234.4	1264937.5	1378187.5	2335416.3	2182987.6	2524304.1
rpc-shipped-nounk	shipped	C-nounk	b	8	12	1159859.4	1049906.2	1361062.5	2315940.3	1944489.3	2690382.8
rpc-shipped-nounk	shipped	D-nounk	b	8	12	1189921.9	1056500.0	1358406.2	2233134.0	1850155.1	2462200.9
rpc-shipped-nounk	shipped	A	b	16	12	1966843.8	1817125.0	2520500.0	2450277.4	2094127.2	3545961.3
rpc-shipped-nounk	shipped	B	b	16	12	1342093.8	1210562.5	1516843.8	2454454.6	2168635.3	3141624.7
rpc-shipped-nounk	shipped	C-nounk	b	16	12	1273921.9	1128968.8	1387656.2	2485759.1	2228142.7	2786962.3
rpc-shipped-nounk	shipped	D-nounk	b	16	12	1294375.0	1176187.5	1458937.5	2558245.7	2287871.2	3260305.7
rpc-shipped	shipped	A	a	1	12	2328640.6	2153156.2	2592968.8	2779048.6	2444278.8	3228279.4
rpc-shipped	shipped	B	a	1	12	2046765.6	1960343.8	2179343.8	2372930.4	2192082.1	2662342.5
rpc-shipped	shipped	C-retain	a	1	12	2509125.0	2292343.8	2607718.8	2825197.1	2565176.6	3031144.1
rpc-shipped	shipped	C-drop	a	1	12	2539453.1	2355843.8	2718875.0	2904243.4	2559407.8	3176293.4
