# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P4.1	decode-read	retain	274809.6	1.011	0.921	1.214	1.103	1.318	0.767	1.225
codec-P	P3.1	decode-read	drop	33041.0	0.937	0.691	1.091	0.960	1.579	0.577	1.078
codec-P	P3.1	decode-read	retain	33041.0	0.937	0.610	1.082	1.108	1.774	0.590	1.067
codec-P	P5.4	encode	drop	346121.2	0.954	1.021	0.954		0.934	0.896	0.923
codec-P	P5.4	encode	retain	346121.2	0.954	0.985	0.948		0.962	0.943	0.941
codec-P	P2.2/wide	encode	drop	883666.3	1.062	0.277	0.457		1.652	0.298	0.431
codec-P	P2.2/wide	encode	retain	883666.3	1.062	0.272	0.481		1.769	0.290	0.519
codec-P	P1.1	decode-read	drop	1153.6	0.980	0.971	1.186	1.467	1.222	1.042	1.253
codec-P	P1.1	decode-read	retain	1153.6	0.980	0.998	1.507	1.605	1.510	1.073	1.591
codec-U	U-leaf-u-varint	decode	drop	325.6	0.998	0.748	1.238	1.284	1.656	0.738	1.255
codec-U	U-leaf-u-varint	decode	retain	325.6	0.998	0.921	1.252	1.774	1.359	0.934	1.240
codec-U	U-deep-all	decode-read	drop	1955.6	0.771	0.767	1.109	1.374	1.445	0.773	1.117
codec-U	U-deep-all	decode-read	retain	1955.6	0.771	0.863	1.626	1.596	1.884	0.841	1.628
codec-U	U-oneof-member-alone	decode-read	drop	109.6	0.859	0.879	1.413	1.474	1.608	0.855	1.402
codec-U	U-oneof-member-alone	decode-read	retain	109.6	0.859	1.048	1.935	1.565	1.846	1.053	1.931
codec-U	U-nested-u-varint	decode-read	drop	313.6	1.075	1.037	1.333	1.389	1.285	1.038	1.321
codec-U	U-nested-u-varint	decode-read	retain	313.6	1.075	0.880	1.712	1.392	1.946	0.870	1.717
codec-U	U-wire-ListProbeResponse-probes-as-wt1	decode	drop						1.497		
codec-U	U-wire-ListProbeResponse-probes-as-wt1	decode	retain						2.210		
codec-U	U-oneof-u-repeated	decode-read	drop	142.1	1.059	0.699	1.188	1.237	1.700	0.709	1.198
codec-U	U-oneof-u-repeated	decode-read	retain	142.1	1.059	0.978	1.336	1.770	1.365	0.997	1.369
codec-U	U-wire-ListProbeResponse-probes-as-wt5	decode	drop						1.224		
codec-U	U-wire-ListProbeResponse-probes-as-wt5	decode	retain						1.727		
codec-U	U-oneof-member-alone	decode	drop	118.7	0.982	0.744	1.239	1.313	1.665	0.757	1.257
codec-U	U-oneof-member-alone	decode	retain	118.7	0.982	0.949	1.387	1.374	1.461	0.940	1.396
codec-U	U-nested-group	decode-read	drop	341.3	1.032	0.661	1.279	1.333	1.934	0.666	1.295
codec-U	U-nested-group	decode-read	retain	341.3	1.032	0.708	1.657	1.339	2.342	0.702	1.668
codec-U	U-nested-u-packed	decode-read	drop	290.0	1.099	0.868	1.215	1.494	1.399	0.877	1.177
codec-U	U-nested-u-packed	decode-read	retain	290.0	1.099	0.954	1.642	1.724	1.721	0.963	1.649
codec-U	U-nested-u-fixed32	decode	drop	296.6	0.860	0.796	1.322	1.384	1.660	0.816	1.348
codec-U	U-nested-u-fixed32	decode	retain	296.6	0.860	1.097	1.517	1.637	1.383	1.122	1.547
codec-U	U-leaf-u-repeated	decode-read	drop	345.1	1.017	0.789	1.182	1.025	1.497	0.797	1.183
codec-U	U-leaf-u-repeated	decode-read	retain	345.1	1.017	0.996	1.456	1.614	1.462	0.989	1.476
codec-U	U-deep-u-varint	encode	drop	1231.5	1.022	0.163	0.441		2.709	0.164	0.436
codec-U	U-deep-u-varint	encode	retain	1231.5	1.022	0.239	0.460		1.926	0.240	0.462
codec-U	U-nested-interleaved	decode-read	drop	320.1	1.262	0.896	1.168	1.482	1.304	0.869	1.145
codec-U	U-nested-interleaved	decode-read	retain	320.1	1.262	1.614	2.393	2.481	1.483	1.629	2.411
codec-U	U-element-u-varint	encode	drop	1232.5	1.011	0.203	0.439		2.162	0.249	0.550
codec-U	U-element-u-varint	encode	retain	1232.5	1.011	0.239	0.465		1.944	0.295	0.581
codec-U	U-deep-u-varint	decode-read	drop	1861.6	1.003	0.625	1.503	1.423	2.405	0.627	1.507
codec-U	U-deep-u-varint	decode-read	retain	1861.6	1.003	0.806	1.528	1.552	1.895	0.811	1.494
codec-U	U-nested-u-varint	decode	drop	300.6	1.048	0.753	1.560	1.620	2.072	0.746	1.568
codec-U	U-nested-u-varint	decode	retain	300.6	1.048	0.910	1.462	1.844	1.607	0.910	1.454
codec-U	U-nested-before	decode	drop	378.4	1.016	0.745	1.123	1.238	1.508	0.759	1.116
codec-U	U-nested-before	decode	retain	378.4	1.016	1.284	2.121	1.621	1.652	1.334	2.219
codec-U	U-deep-u-varint	decode	drop	1786.7	1.012	0.774	1.504	1.477	1.944	0.772	1.438
codec-U	U-deep-u-varint	decode	retain	1786.7	1.012	0.752	1.585	1.205	2.108	0.742	1.585
codec-U	U-leaf-u-len	encode	drop	245.7	1.046	0.185	0.422		2.286	0.181	0.418
codec-U	U-leaf-u-len	encode	retain	245.7	1.046	0.263	0.438		1.665	0.261	0.440
codec-U	U-deep-u-fixed64	encode	drop	966.0	1.319	0.253	0.563		2.228	0.255	0.567
codec-U	U-deep-u-fixed64	encode	retain	966.0	1.319	0.305	0.590		1.936	0.306	0.592
codec-U	U-root-u-packed	encode	drop	444.8	1.293	0.181	0.435		2.401	0.182	0.437
codec-U	U-root-u-packed	encode	retain	444.8	1.293	0.289	0.455		1.577	0.290	0.458
codec-U	U-nested-u-fixed64	decode	drop	282.3	1.097	0.846	1.691	1.487	1.999	0.856	1.537
codec-U	U-nested-u-fixed64	decode	retain	282.3	1.097	0.932	1.312	1.994	1.408	0.945	1.326
codec-U	U-wire-ListResultsResponse-results-as-wt0	decode-read	drop						1.583		
codec-U	U-wire-ListResultsResponse-results-as-wt0	decode-read	retain						1.535		
codec-U	U-element-u-len	decode	drop	1791.5	0.995	0.778	1.498	1.501	1.925	1.006	1.920
codec-U	U-element-u-len	decode	retain	1791.5	0.995	0.638	1.605	1.550	2.514	0.802	2.044
codec-U	U-enum-value-packed	decode-read	drop	108.6	1.287	0.841	2.052	2.035	2.442	0.670	2.104
codec-U	U-enum-value-packed	decode-read	retain	108.6	1.287	0.834	2.185	2.360	2.620	0.855	2.231
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	decode-read	drop						0.933		
codec-U	U-wire-ListMetricsResponse-batches-as-wt5	decode-read	retain						0.926		
codec-U	U-deep-u-repeated	decode	drop	1570.1	1.101	0.889	1.667	1.687	1.875	0.876	1.669
codec-U	U-deep-u-repeated	decode	retain	1570.1	1.101	0.912	1.895	1.844	2.078	0.908	1.854
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode	drop						1.571		
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode	retain						1.724		
codec-U	U-oneof-u-packed	decode	drop	131.1	0.773	0.691	1.177	1.233	1.703	0.687	1.167
codec-U	U-oneof-u-packed	decode	retain	131.1	0.773	0.862	1.627	1.647	1.888	0.851	1.629
codec-U	U-element-u-len	decode-read	drop	1890.7	0.969	0.803	1.426	1.418	1.777	0.807	1.444
codec-U	U-element-u-len	decode-read	retain	1890.7	0.969	0.795	1.596	1.559	2.007	0.793	1.581
codec-U	U-deep-u-repeated	decode-read	drop	1861.6	1.002	0.654	1.474	1.438	2.254	0.628	1.474
codec-U	U-deep-u-repeated	decode-read	retain	1861.6	1.002	0.656	1.583	1.542	2.415	0.646	1.512
codec-U	U-nested-u-repeated	encode	drop	201.3	1.282	0.225	0.512		2.272	0.228	0.510
codec-U	U-nested-u-repeated	encode	retain	201.3	1.282	0.316	0.523		1.657	0.318	0.525
codec-U	U-deep-u-packed	decode	drop	1783.4	0.988	0.772	1.517	1.493	1.967	0.780	1.532
codec-U	U-deep-u-packed	decode	retain	1783.4	0.988	0.783	1.608	1.555	2.054	0.780	1.607
codec-U	U-oneof-u-fixed64	encode	drop	111.3	0.996	0.165	0.434		2.629	0.162	0.444
codec-U	U-oneof-u-fixed64	encode	retain	111.3	0.996	0.234	0.479		2.043	0.239	0.483
codec-U	U-leaf-u-repeated	decode	drop	342.9	0.924	0.736	1.222	1.294	1.660	0.765	1.256
codec-U	U-leaf-u-repeated	decode	retain	342.9	0.924	0.919	1.764	1.815	1.918	0.957	1.832
codec-U	U-oneof-interleaved	decode	drop	205.2	1.024	0.608	0.960	0.965	1.578	0.607	0.952
codec-U	U-oneof-interleaved	decode	retain	205.2	1.024	1.335	2.090	2.446	1.566	1.357	2.117
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode-read	drop						1.610		
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode-read	retain						1.980		
codec-U	U-root-u-packed	decode-read	drop	650.6	1.019	0.863	1.363	1.448	1.580	0.853	1.360
codec-U	U-root-u-packed	decode-read	retain	650.6	1.019	0.956	1.283	1.469	1.341	0.958	1.260
codec-U	U-nested-interleaved	decode	drop	377.3	0.804	0.702	1.083	1.394	1.544	0.709	1.079
codec-U	U-nested-interleaved	decode	retain	377.3	0.804	1.323	1.613	1.736	1.219	1.317	1.616
codec-U	U-wire-UploadResultDataMessage-upload-as-wt5	encode	drop						2.309		
codec-U	U-wire-UploadResultDataMessage-upload-as-wt5	encode	retain						2.122		
codec-U	U-element-u-fixed32	decode-read	drop	1850.4	0.997	0.812	1.493	1.468	1.839	0.991	1.813
codec-U	U-element-u-fixed32	decode-read	retain	1850.4	0.997	0.810	1.664	1.599	2.054	0.990	1.972
codec-U	U-deep-u-packed	decode-read	drop	1855.4	0.977	0.793	1.481	1.474	1.868	0.801	1.480
codec-U	U-deep-u-packed	decode-read	retain	1855.4	0.977	0.810	1.549	1.525	1.914	0.815	1.518
codec-U	U-enum-value-999	decode-read	drop	87.5	1.358	0.832	1.503	1.780	1.805	0.835	1.506
codec-U	U-enum-value-999	decode-read	retain	87.5	1.358	1.118	1.780	1.871	1.592	1.125	1.802
codec-U	U-root-group	encode	drop	561.1	1.061	0.136	0.342		2.513	0.133	0.341
codec-U	U-root-group	encode	retain	561.1	1.061	0.227	0.363		1.597	0.225	0.361
codec-U	U-wire-DualResponse-left-as-wt5	encode	drop						1.905		
codec-U	U-wire-DualResponse-left-as-wt5	encode	retain						1.452		
codec-U	U-oneof-u-varint	decode	drop	138.7	0.974	0.695	1.100	1.152	1.583	0.687	1.121
codec-U	U-oneof-u-varint	decode	retain	138.7	0.974	0.836	1.545	1.572	1.848	0.847	1.561
codec-U	U-root-interleaved	decode-read	drop	723.1	1.130	0.775	1.263	1.269	1.629	0.776	1.284
codec-U	U-root-interleaved	decode-read	retain	723.1	1.130	1.019	1.387	1.721	1.361	1.038	1.414
codec-U	U-leaf-u-packed	decode	drop	309.5	1.002	0.786	1.321	1.607	1.681	0.789	1.311
codec-U	U-leaf-u-packed	decode	retain	309.5	1.002	0.949	1.846	1.659	1.945	0.944	1.833
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode	drop						1.703		
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode	retain						1.727		
codec-U	U-wire-DualResponse-left-as-wt1	decode-read	drop						1.478		
codec-U	U-wire-DualResponse-left-as-wt1	decode-read	retain						1.568		
codec-U	U-wire-DualResponse-left-as-wt1	encode	drop						1.819		
codec-U	U-wire-DualResponse-left-as-wt1	encode	retain						1.551		
codec-U	U-wire-ListResultsResponse-page-as-wt2	decode	drop						1.501		
codec-U	U-wire-ListResultsResponse-page-as-wt2	decode	retain						1.639		
codec-U	U-deep-u-len	encode	drop	1233.1	1.010	0.154	0.429		2.792	0.154	0.415
codec-U	U-deep-u-len	encode	retain	1233.1	1.010	0.241	0.461		1.911	0.237	0.458
codec-U	U-root-all	decode-read	drop	712.0	1.047	0.673	1.309	1.239	1.944	0.648	1.314
codec-U	U-root-all	decode-read	retain	712.0	1.047	1.041	1.614	1.770	1.550	1.048	1.613
codec-U	U-element-u-packed	encode	drop	1243.8	0.981	0.196	0.436		2.220	0.197	0.438
codec-U	U-element-u-packed	encode	retain	1243.8	0.981	0.234	0.459		1.960	0.235	0.461
codec-U	U-enum-value-127	decode	drop	77.1	1.403	1.118	1.369	1.541	1.225	1.111	1.372
codec-U	U-enum-value-127	decode	retain	77.1	1.403	1.207	1.597	1.997	1.323	1.200	1.597
codec-U	U-deep-u-len	decode-read	drop	1869.6	0.970	0.718	1.412	1.461	1.966	0.725	1.406
codec-U	U-deep-u-len	decode-read	retain	1869.6	0.970	0.800	1.508	1.508	1.885	0.802	1.508
codec-U	U-oneof-group	decode-read	drop	141.9	1.147	0.809	1.273	1.314	1.573	0.818	1.283
codec-U	U-oneof-group	decode-read	retain	141.9	1.147	0.989	1.536	1.725	1.553	0.996	1.534
codec-U	U-root-u-len	decode	drop	475.7	1.055	1.105	1.385	1.396	1.253	1.106	1.373
