Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Payload,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
'memcpy floor',DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.1,19.88 ns,0.273 ns,0.242 ns,19.80 ns,0.004,0.00,0.0000,0.0000,0.0000,0 B,0.00
gp-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.2,"2,956,540.43 ns","45,672.610 ns","42,722.187 ns","2,957,844.71 ns",1.000,0.02,132.8125,74.2188,0.0000,2316528 B,1.00
managed-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.2,"2,017,721.72 ns","39,220.455 ns","53,685.405 ns","2,022,588.68 ns",0.683,0.02,121.0938,82.0313,0.0000,2117904 B,0.91
'memcpy floor',DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.2,"20,624.62 ns",305.029 ns,285.325 ns,"20,600.16 ns",0.007,0.00,0.0000,0.0000,0.0000,0 B,0.00
gp-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.3,"2,027,251.54 ns","39,878.340 ns","48,974.187 ns","2,028,306.86 ns",1.00,0.03,121.0938,85.9375,0.0000,2091104 B,1.00
managed-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.3,"1,620,199.94 ns","31,795.149 ns","42,445.615 ns","1,611,559.50 ns",0.80,0.03,119.1406,83.9844,0.0000,2085480 B,1.00
'memcpy floor',DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.3,"28,682.25 ns",248.552 ns,232.496 ns,"28,717.96 ns",0.01,0.00,0.0000,0.0000,0.0000,0 B,0.00
gp-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.4,"2,700,030.88 ns","53,548.499 ns","86,470.852 ns","2,695,530.68 ns",1.00,0.04,187.5000,140.6250,0.0000,3283352 B,1.00
managed-parse,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.4,"2,127,788.83 ns","41,893.171 ns","58,728.380 ns","2,118,156.25 ns",0.79,0.03,187.5000,132.8125,0.0000,3265688 B,0.99
'memcpy floor',DefaultJob,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,P2.4,"50,330.15 ns",973.933 ns,"1,231.713 ns","49,821.93 ns",0.02,0.00,0.0000,0.0000,0.0000,0 B,0.00
