# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-U	U-nested-group	encode	retain	252.6	0.825	0.248	0.428		1.730	0.245	0.421
codec-U	U-nested-interleaved	encode	drop	248.5	0.995	0.230	0.318		1.380	0.233	0.314
codec-U	U-nested-interleaved	encode	retain	248.5	0.995	0.252	0.440		1.744	0.251	0.445
codec-U	U-root-u-fixed64	encode	drop	565.0	1.061	0.174	0.344		1.973	0.175	0.348
codec-U	U-root-u-fixed64	encode	retain	565.0	1.061	0.228	0.348		1.530	0.232	0.348
codec-U	U-oneof-u-repeated	decode	drop	144.9	0.963	0.550	1.105	1.238	2.011	0.561	1.107
codec-U	U-oneof-u-repeated	decode	retain	144.9	0.963	0.879	1.674	1.685	1.904	0.852	1.691
codec-U	U-oneof-before	decode-read	drop	215.7	1.007	0.464	0.999	1.146	2.152	0.470	1.012
codec-U	U-oneof-before	decode-read	retain	215.7	1.007	1.167	2.249	1.722	1.928	1.089	2.249
codec-U	U-wire-DualResponse-left-as-wt0	decode-read	drop						1.448		
codec-U	U-wire-DualResponse-left-as-wt0	decode-read	retain						1.565		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt1	decode	drop						1.693		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt1	decode	retain						1.964		
codec-U	U-oneof-interleaved	decode-read	drop	212.9	1.037	0.610	0.950	1.057	1.558	0.610	0.960
codec-U	U-oneof-interleaved	decode-read	retain	212.9	1.037	1.301	2.044	2.084	1.572	1.320	2.068
codec-U	U-leaf-u-packed	decode-read	drop	326.1	0.997	0.809	1.245	1.130	1.539	0.809	1.213
codec-U	U-leaf-u-packed	decode-read	retain	326.1	0.997	0.974	1.580	1.840	1.622	0.976	1.566
codec-U	U-oneof-u-packed	encode	drop	105.4	1.112	0.213	0.458		2.149	0.214	0.479
codec-U	U-oneof-u-packed	encode	retain	105.4	1.112	0.332	0.518		1.560	0.348	0.528
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode	drop						1.759		
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode	retain						1.767		
codec-U	U-enum-value-127	encode	drop	41.4	1.349	0.346	0.875		2.532	0.337	0.862
codec-U	U-enum-value-127	encode	retain	41.4	1.349	0.493	0.832		1.688	0.494	0.846
codec-U	U-wire-ListResultsResponse-results-as-wt5	decode-read	drop						1.545		
codec-U	U-wire-ListResultsResponse-results-as-wt5	decode-read	retain						1.562		
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	encode	drop						2.072		
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	encode	retain						1.852		
codec-U	U-oneof-member-before-known	decode	drop	129.2	0.980	0.725	1.215	1.371	1.677	0.714	1.217
