  U-wire-ChunkElement-attrs-as-wt0   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-attrs-as-wt1   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-attrs-as-wt5   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-id-as-wt0      ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-id-as-wt1      ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-id-as-wt5      ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-inner-as-wt0   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-inner-as-wt1   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-inner-as-wt5   ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-labels-as-wt0  ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-labels-as-wt1  ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkElement-labels-as-wt5  ChunkElement               positions  4, changed by zeroing  1, entry bytes 0
  U-wire-ChunkInner-leaves-as-wt0    ChunkInner                 positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ChunkInner-leaves-as-wt1    ChunkInner                 positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ChunkInner-leaves-as-wt5    ChunkInner                 positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ChunkInner-marks-as-wt1     ChunkInner                 positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ChunkInner-marks-as-wt5     ChunkInner                 positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-k-as-wt0          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-k-as-wt1          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-k-as-wt5          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-v-as-wt1          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-v-as-wt2          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkLeaf-v-as-wt5          ChunkLeaf                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-items-as-wt0 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-items-as-wt1 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-items-as-wt5 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-page-as-wt1 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-page-as-wt2 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponse-page-as-wt5 ChunkedResponse            positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponseWide-items-as-wt0 ChunkedResponseWide        positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponseWide-items-as-wt1 ChunkedResponseWide        positions  5, changed by zeroing  1, entry bytes 0
  U-wire-ChunkedResponseWide-items-as-wt5 ChunkedResponseWide        positions  5, changed by zeroing  1, entry bytes 0
  U-wire-DualResponse-left-as-wt0    DualResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-DualResponse-left-as-wt1    DualResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-DualResponse-left-as-wt5    DualResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-Duration-nanos-as-wt1       Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Duration-nanos-as-wt2       Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Duration-nanos-as-wt5       Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Duration-seconds-as-wt1     Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Duration-seconds-as-wt2     Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Duration-seconds-as-wt5     Duration                   positions  1, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-id-as-wt0       LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-id-as-wt1       LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-id-as-wt5       LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-n-as-wt1        LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-n-as-wt2        LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-n-as-wt5        LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-stamp-as-wt0    LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-stamp-as-wt1    LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafElement-stamp-as-wt5    LeafElement                positions  2, changed by zeroing  1, entry bytes 0
  U-wire-LeafResponse-items-as-wt0   LeafResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-LeafResponse-items-as-wt1   LeafResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-LeafResponse-items-as-wt5   LeafResponse               positions  3, changed by zeroing  1, entry bytes 0
  U-wire-ListMetricsResponse-batches-as-wt0 ListMetricsResponse        positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ListMetricsResponse-batches-as-wt1 ListMetricsResponse        positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ListMetricsResponse-batches-as-wt5 ListMetricsResponse        positions  2, changed by zeroing  1, entry bytes 0
  U-wire-ListProbeResponse-probes-as-wt0 ListProbeResponse          positions  4, changed by zeroing  1, entry bytes 0
