# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned	pinned	C-drop	a	16	3	2941593.8	2888468.8	3105218.8	3078225.1	3000719.3	3339780.0
rpc-pinned	pinned	C-drop	b	1	3	996312.5	980406.2	1021312.5	3216913.7	2821625.1	3232005.1
rpc-pinned	pinned	C-drop	b	8	3	980593.8	893687.5	1007812.5	1702129.2	1700668.8	1794982.3
rpc-pinned	pinned	C-drop	b	16	3	1139562.5	1120843.8	1168687.5	2345176.0	2084659.9	2372016.1
rpc-pinned	pinned	D-retain	a	1	3	2253937.5	2148625.0	2635375.0	2484992.4	2375961.6	3026602.0
rpc-pinned	pinned	D-retain	a	8	3	2935000.0	2905906.2	3004187.5	2945944.3	2940804.6	3018299.8
rpc-pinned	pinned	D-retain	a	16	3	3198812.5	3116812.5	3211218.8	3217573.8	3143298.7	3241508.9
rpc-pinned	pinned	D-retain	b	1	3	939406.2	926812.5	987468.8	2669886.0	2476615.5	2720627.2
rpc-pinned	pinned	D-retain	b	8	3	1091125.0	871562.5	1168375.0	1768223.4	1612133.5	2033952.3
rpc-pinned	pinned	D-retain	b	16	3	1011093.8	982031.2	1052906.2	1961651.8	1771282.9	2123351.5
rpc-pinned	pinned	D-drop	a	1	3	3431343.8	2397031.2	3436187.5	3756242.9	2685584.4	3845820.1
rpc-pinned	pinned	D-drop	a	8	3	2546281.2	2469093.8	3095687.5	2622991.5	2515136.5	3164150.0
rpc-pinned	pinned	D-drop	a	16	3	3492500.0	3190031.2	3622843.8	3515097.3	3297697.7	3799118.0
rpc-pinned	pinned	D-drop	b	1	3	981718.8	961937.5	1038031.2	3307400.6	3236946.4	3387937.0
rpc-pinned	pinned	D-drop	b	8	3	949625.0	856250.0	1087093.8	1740367.4	1698135.2	1954373.7
rpc-pinned	pinned	D-drop	b	16	3	1004218.8	996375.0	1172531.2	2057787.1	1853943.2	2075332.5
