# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-P	P7.1	decode	drop	326.0	1.001	0.726	0.932	1.007	1.284	0.719	0.921
codec-P	P7.1	decode	retain	326.0	1.001	0.711	0.966	1.066	1.359	0.712	0.968
codec-P	P1.3	decode-read	drop	9368.7	1.457	1.427	1.935	2.010	1.356	1.425	1.946
codec-P	P1.3	decode-read	retain	9368.7	1.457	1.436	1.915	2.101	1.333	1.434	1.911
codec-P	P2.2	encode	drop	997155.1	1.017	0.222	0.324		1.463	0.221	0.318
codec-P	P2.2	encode	retain	997155.1	1.017	0.230	0.332		1.449	0.229	0.326
codec-P	P4.1	decode	drop	257528.4	1.004	0.851	0.945	0.909	1.111	0.854	0.945
codec-P	P4.1	decode	retain	257528.4	1.004	0.870	0.948	0.909	1.089	0.876	0.948
codec-P	P5.2	decode	drop	1684.6	0.053	0.991	0.992	0.996	1.001	0.988	0.833
codec-P	P5.2	decode	retain	1684.6	0.053	0.980	0.997	1.000	1.017	0.983	0.996
codec-P	P5.3	encode	drop	43065.4	0.994	0.935	1.070		1.144	0.954	1.080
codec-P	P5.3	encode	retain	43065.4	0.994	0.922	1.060		1.150	0.941	1.077
codec-P	P2.4	encode	drop	665869.7	0.993	0.283	0.383		1.351	0.287	0.389
codec-P	P2.4	encode	retain	665869.7	0.993	0.270	0.387		1.431	0.275	0.385
codec-P	P2.2/wide	decode-read	drop	2450537.8	1.012	0.896	1.021	0.978	1.140	0.877	1.007
codec-P	P2.2/wide	decode-read	retain	2450537.8	1.012	0.908	1.017	0.979	1.120	0.906	1.015
codec-P	P3.1	decode-read	drop	26369.2	1.183	0.908	0.958	0.986	1.055	0.881	0.937
codec-P	P3.1	decode-read	retain	26369.2	1.183	0.886	0.958	0.985	1.081	0.882	0.908
codec-P	P1.2/latin1	decode	drop	594255.6	0.950	0.850	0.852	0.876	1.002	0.894	0.828
codec-P	P1.2/latin1	decode	retain	594255.6	0.950	0.836	0.846	0.866	1.013	0.830	0.870
codec-P	P1.2	encode	drop	338569.8	1.060	0.185	0.259		1.400	0.184	0.258
codec-P	P1.2	encode	retain	338569.8	1.060	0.217	0.267		1.232	0.216	0.268
codec-P	P5.4	decode-read	drop	322403.0	0.000	0.996	0.990	0.997	0.994	1.002	1.002
codec-P	P5.4	decode-read	retain	322403.0	0.000	1.003	0.992	1.002	0.989	1.002	0.988
codec-P	P1.1	decode-read	drop	1274.0	1.069	0.908	0.914	0.925	1.007	0.892	0.903
codec-P	P1.1	decode-read	retain	1274.0	1.069	0.889	0.929	0.948	1.045	0.905	0.926
codec-P	P2.1	decode	drop	1927.4	0.870	0.662	0.960	0.964	1.450	0.742	1.054
codec-P	P2.1	decode	retain	1927.4	0.870	0.715	0.982	0.993	1.373	0.769	1.097
codec-P	P1.3	decode	drop	8521.9	1.497	1.486	2.043	2.094	1.375	1.477	2.034
codec-P	P1.3	decode	retain	8521.9	1.497	1.497	2.016	2.186	1.347	1.489	2.006
codec-P	P4.1	encode	drop	146900.0	0.987	0.185	0.309		1.671	0.181	0.302
codec-P	P4.1	encode	retain	146900.0	0.987	0.208	0.322		1.552	0.206	0.313
codec-P	P3.1	decode	drop	25124.0	1.157	0.894	0.935	0.964	1.046	0.888	0.933
codec-P	P3.1	decode	retain	25124.0	1.157	0.865	0.931	0.960	1.076	0.860	0.926
codec-P	P1.2/wide	encode	drop	337960.4	1.090	0.196	0.264		1.343	0.195	0.262
codec-P	P1.2/wide	encode	retain	337960.4	1.090	0.221	0.275		1.240	0.222	0.274
codec-P	P2.1	encode	drop	1442.9	1.002	0.185	0.327		1.763	0.183	0.320
codec-P	P2.1	encode	retain	1442.9	1.002	0.215	0.337		1.570	0.217	0.331
codec-P	P6.1	encode	drop	417224.0	1.023	0.177	0.197		1.112	0.176	0.195
codec-P	P6.1	encode	retain	417224.0	1.023	0.177	0.196		1.107	0.177	0.196
codec-P	P2.5	decode-read	drop	49550.2	1.000	0.825	0.977	0.930	1.185	0.826	0.989
codec-P	P2.5	decode-read	retain	49550.2	1.000	0.834	0.975	0.936	1.169	0.829	0.978
codec-P	P1.2	decode-read	drop	404875.4	0.917	0.811	0.820	0.836	1.010	0.831	0.933
codec-P	P1.2	decode-read	retain	404875.4	0.917	0.813	0.824	0.838	1.013	0.880	0.887
codec-P	P4.1	decode-read	drop	269729.0	1.016	0.898	0.962	0.910	1.072	0.799	0.840
codec-P	P4.1	decode-read	retain	269729.0	1.016	0.910	0.961	0.908	1.056	0.745	0.822
codec-P	P5.3	decode	drop	44277.3	0.002	1.004	0.999	0.996	0.995	1.004	1.008
codec-P	P5.3	decode	retain	44277.3	0.002	0.992	0.995	0.995	1.003	0.997	1.001
codec-P	P1.3	encode	drop	5785.8	1.288	0.306	0.636		2.080	0.293	0.622
codec-P	P1.3	encode	retain	5785.8	1.288	0.388	0.650		1.675	0.383	0.644
codec-P	P1.2/latin1	encode	drop	331728.9	1.068	0.181	0.262		1.444	0.182	0.262
codec-P	P1.2/latin1	encode	retain	331728.9	1.068	0.206	0.269		1.308	0.202	0.269
codec-P	P5.2	encode	drop	1649.9	0.990	0.933	0.943		1.011	0.936	0.941
codec-P	P5.2	encode	retain	1649.9	0.990	0.929	0.949		1.021	0.930	0.947
codec-P	P1.2	decode	drop	391319.8	0.908	0.790	0.802	0.821	1.016	0.792	0.813
codec-P	P1.2	decode	retain	391319.8	0.908	0.793	0.802	0.827	1.011	0.795	0.811
codec-P	P4.1	decode-nodrop	drop	180537.9	1.028	0.852	0.934		1.097	0.863	0.933
codec-P	P4.1	decode-nodrop	retain	180537.9	1.028	0.878	0.931		1.061	0.866	0.926
codec-P	P6.1	decode	drop	247555.8	1.042	0.622	0.577	0.506	0.928	0.604	0.640
codec-P	P6.1	decode	retain	247555.8	1.042	0.607	0.575	0.518	0.947	0.678	0.638
codec-P	P6.1	decode-nodrop	drop	206502.6	1.129	0.643	0.603		0.939	0.644	0.603
codec-P	P6.1	decode-nodrop	retain	206502.6	1.129	0.645	0.601		0.931	0.639	0.601
codec-P	P2.4	decode-read	drop	1781211.2	0.990	0.906	0.785	0.770	0.867	0.899	0.795
codec-P	P2.4	decode-read	retain	1781211.2	0.990	0.920	0.794	0.768	0.862	0.928	0.797
codec-P	P1.1	decode	drop	1221.3	1.074	0.877	0.901	0.919	1.027	0.880	0.898
codec-P	P1.1	decode	retain	1221.3	1.074	0.852	0.923	0.940	1.083	0.856	0.924
codec-P	P2.2	decode	drop	1408177.2	0.993	0.881	1.045	1.011	1.186	0.876	1.052
codec-P	P2.2	decode	retain	1408177.2	0.993	0.898	1.048	1.012	1.166	0.901	1.051
codec-P	P2.2/wide	encode	drop	1056312.6	1.014	0.238	0.320		1.346	0.238	0.322
