# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-U	U-oneof-u-varint	decode	retain	139.3	0.993	0.816	1.119	1.250	1.371	0.816	1.129
codec-U	U-nested-u-packed	encode	drop	278.2	1.033	0.162	0.303		1.867	0.161	0.295
codec-U	U-nested-u-packed	encode	retain	278.2	1.033	0.250	0.324		1.298	0.232	0.308
codec-U	U-root-before	decode	drop	693.5	1.022	0.773	0.812	0.856	1.050	0.776	0.821
codec-U	U-root-before	decode	retain	693.5	1.022	0.987	1.237	1.250	1.253	0.997	1.238
codec-U	U-wire-ListResultsResponse-page-as-wt2	encode	drop						1.580		
codec-U	U-wire-ListResultsResponse-page-as-wt2	encode	retain						1.307		
codec-U	U-element-u-fixed32	decode	drop	1989.9	1.001	0.803	0.990	0.961	1.234	0.811	0.980
codec-U	U-element-u-fixed32	decode	retain	1989.9	1.001	0.849	1.051	1.076	1.238	0.837	1.064
codec-U	U-nested-u-msg	encode	drop	281.4	1.025	0.160	0.298		1.865	0.162	0.305
codec-U	U-nested-u-msg	encode	retain	281.4	1.025	0.246	0.311		1.264	0.239	0.313
codec-U	U-wire-UploadResultDataMessage-upload-as-wt5	encode	drop						1.765		
codec-U	U-wire-UploadResultDataMessage-upload-as-wt5	encode	retain						1.421		
codec-U	U-wire-ListResultsResponse-page-as-wt1	decode-read	drop						1.023		
codec-U	U-wire-ListResultsResponse-page-as-wt1	decode-read	retain						1.134		
codec-U	U-deep-u-repeated	decode	drop	1684.4	0.987	0.809	1.003	0.950	1.241	0.783	0.977
codec-U	U-deep-u-repeated	decode	retain	1684.4	0.987	0.833	1.075	1.059	1.290	0.807	1.047
codec-U	U-wire-ListResultsResponse-results-as-wt0	decode-read	drop						1.003		
codec-U	U-wire-ListResultsResponse-results-as-wt0	decode-read	retain						1.142		
codec-nounk-P	P7.1	decode	no-unknown	283.2	1.011	0.738	0.929	1.020	1.257	0.741	0.890
codec-nounk-P	P1.3	decode-read	no-unknown	7395.9	1.516	1.483	1.495	1.632	1.008	1.488	1.502
codec-nounk-P	P2.2	encode	no-unknown	897631.8	1.050	0.261	0.371		1.421	0.257	0.358
codec-nounk-P	P4.1	decode	no-unknown	268529.5	0.996	0.874	0.905	0.857	1.036	0.701	0.714
codec-nounk-P	P5.2	decode	no-unknown	1670.8	0.057	0.989	0.996	0.993	1.007	0.836	0.818
codec-nounk-P	P5.3	encode	no-unknown	49526.7	0.980	0.949	0.986		1.039	0.945	0.986
codec-nounk-P	P2.4	encode	no-unknown	605670.5	1.007	0.328	0.462		1.408	0.321	0.444
codec-nounk-P	P2.2/wide	decode-read	no-unknown	2120018.5	1.015	0.895	1.011	0.999	1.130	0.887	0.997
codec-nounk-P	P3.1	decode-read	no-unknown	26904.5	1.154	0.872	0.877	0.895	1.006	0.885	0.881
codec-nounk-P	P1.2/latin1	decode	no-unknown	609795.8	0.944	0.816	0.811	0.821	0.993	0.813	0.807
codec-nounk-P	P1.2	encode	no-unknown	306376.7	1.067	0.215	0.287		1.334	0.211	0.273
codec-nounk-P	P5.4	decode-read	no-unknown	328679.6	0.000	1.021	1.013	0.987	0.992	1.018	1.031
codec-nounk-P	P1.1	decode-read	no-unknown	1340.5	1.055	0.839	0.819	0.821	0.976	0.838	0.814
codec-nounk-P	P2.1	decode	no-unknown	2035.0	0.964	0.758	1.034	1.037	1.364	0.766	1.034
codec-nounk-P	P1.3	decode	no-unknown	7775.9	1.512	1.474	1.468	1.610	0.996	1.475	1.466
codec-nounk-P	P4.1	encode	no-unknown	131369.2	1.012	0.212	0.340		1.602	0.211	0.338
codec-nounk-P	P3.1	decode	no-unknown	31354.7	0.970	0.707	0.705	0.715	0.997	0.707	0.729
codec-nounk-P	P1.2/wide	encode	no-unknown	277820.4	1.117	0.205	0.314		1.533	0.197	0.307
codec-nounk-P	P2.1	encode	no-unknown	1130.7	1.020	0.217	0.357		1.648	0.219	0.365
codec-nounk-P	P6.1	encode	no-unknown	377872.4	1.021	0.189	0.207		1.099	0.185	0.206
codec-nounk-P	P2.5	decode-read	no-unknown	51210.1	1.003	0.824	0.926	0.905	1.124	0.817	0.923
codec-nounk-P	P1.2	decode-read	no-unknown	427843.1	0.910	0.781	0.758	0.764	0.970	0.797	0.771
codec-nounk-P	P4.1	decode-read	no-unknown	284601.3	0.989	0.886	0.915	0.863	1.032	0.900	0.918
codec-nounk-P	P5.3	decode	no-unknown	43041.4	0.002	0.988	0.997	0.993	1.009	1.015	1.012
codec-nounk-P	P1.3	encode	no-unknown	5660.5	1.237	0.369	0.641		1.738	0.363	0.626
codec-nounk-P	P1.2/latin1	encode	no-unknown	303155.2	1.072	0.206	0.290		1.407	0.208	0.290
codec-nounk-P	P5.2	encode	no-unknown	1646.2	0.986	0.933	0.949		1.017	0.931	0.946
codec-nounk-P	P1.2	decode	no-unknown	398669.6	0.919	0.771	0.751	0.753	0.974	0.746	0.718
codec-nounk-P	P4.1	decode-nodrop	no-unknown	214911.5	1.004	0.881	0.880		0.999	0.891	0.884
codec-nounk-P	P6.1	decode	no-unknown	278395.3	1.056	0.419	0.637	0.586	1.521	0.421	0.644
codec-nounk-P	P6.1	decode-nodrop	no-unknown	251250.1	1.077	0.394	0.636		1.613	0.395	0.644
codec-nounk-P	P2.4	decode-read	no-unknown	1792766.7	1.001	0.916	0.769	0.760	0.840	0.908	0.764
codec-nounk-P	P1.1	decode	no-unknown	1272.0	1.082	0.836	0.832	0.840	0.996	0.836	0.833
codec-nounk-P	P2.2	decode	no-unknown	1466019.6	0.987	0.869	0.979	0.964	1.127	0.874	0.982
codec-nounk-P	P2.2/wide	encode	no-unknown	966061.5	1.023	0.280	0.369		1.317	0.281	0.371
codec-nounk-P	P5.1	decode-read	no-unknown	106.3	0.865	0.855	0.855	0.904	1.000	0.855	0.853
codec-nounk-P	P5.4	encode	no-unknown	358246.2	0.989	0.982	1.001		1.019	0.993	0.996
codec-nounk-P	P2.2/latin1	decode-read	no-unknown	2167883.6	1.002	0.875	0.966	0.945	1.104	0.866	0.977
codec-nounk-P	P2.4	decode	no-unknown	1747723.2	1.005	0.911	0.759	0.756	0.833	0.906	0.758
codec-nounk-P	P2.5	decode	no-unknown	48426.4	0.977	0.782	0.876	0.875	1.120	0.794	0.916
codec-nounk-P	P5.4	decode	no-unknown	362032.2	0.000	1.008	1.003	1.008	0.994	1.031	1.022
codec-nounk-P	P1.2	decode-nodrop	no-unknown	328389.9	0.932	0.709	0.690		0.973	0.714	0.696
codec-nounk-P	P6.1	decode-read	no-unknown	320290.6	1.076	0.455	0.618	0.576	1.359	0.448	0.624
codec-nounk-P	P5.3	decode-read	no-unknown	40073.1	0.002	1.007	1.002	1.005	0.996	0.994	0.990
codec-nounk-P	P2.3	encode	no-unknown	467701.7	1.005	0.274	0.417		1.523	0.273	0.416
codec-nounk-P	P1.2/latin1	decode-read	no-unknown	634703.1	0.970	0.825	0.828	0.818	1.003	0.820	0.826
codec-nounk-P	P2.2/latin1	decode	no-unknown	2106285.1	1.004	0.852	0.964	0.940	1.132	0.840	0.998
codec-nounk-P	P1.2/wide	decode	no-unknown	724674.4	0.966	0.834	0.868	0.892	1.041	0.821	0.845
codec-nounk-P	P5.2	decode-read	no-unknown	1659.2	0.059	0.993	0.997	1.000	1.004	0.845	0.935
codec-nounk-P	P2.2	decode-nodrop	no-unknown	1064099.6	0.969	0.802	0.931		1.161	0.791	0.958
codec-nounk-P	P3.1	encode	no-unknown	20761.0	1.036	0.186	0.276		1.484	0.184	0.274
codec-nounk-P	P2.3	decode	no-unknown	1282748.8	0.992	0.896	0.773	0.762	0.864	0.900	0.773
codec-nounk-P	P2.2/wide	decode	no-unknown	2443782.9	1.011	0.876	1.010	0.985	1.153	0.881	1.000
