# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ratios of per-case medians inside one process (and, *_min, of per-case minima); < 1 means fewer CPU ns than the denominator; empty = arm not run
file	input	dir	mode	incumbent_prod_median_ns	armonik/inc	core-native/inc	core-ffi/inc	core-ffi-pull/inc	core-ffi/core-native	core-native/inc_min	core-ffi/inc_min
codec-U	U-oneof-member-before-known	encode	retain	116.1	0.968	0.240	0.396		1.648	0.250	0.426
codec-U	U-root-u-msg	decode	drop	599.7	1.093	0.867	0.909	0.937	1.049	0.869	0.907
codec-U	U-root-u-msg	decode	retain	599.7	1.093	0.909	1.048	1.088	1.153	0.892	1.068
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode	drop						1.050		
codec-U	U-wire-ListResultsResponse-page-as-wt5	decode	retain						1.139		
codec-U	U-leaf-u-fixed32	decode-read	drop	247.1	1.068	0.859	0.927	0.954	1.079	0.830	0.901
codec-U	U-leaf-u-fixed32	decode-read	retain	247.1	1.068	0.966	1.212	1.240	1.254	0.949	1.183
codec-U	U-wire-DualResponse-left-as-wt0	decode	drop						1.262		
codec-U	U-wire-DualResponse-left-as-wt0	decode	retain						1.356		
codec-U	U-root-max-tag	decode	drop	474.2	1.091	0.874	0.918	0.944	1.050	0.870	0.921
codec-U	U-root-max-tag	decode	retain	474.2	1.091	0.902	1.041	1.070	1.154	0.913	1.046
codec-U	U-deep-u-fixed32	decode	drop	1838.0	0.956	0.790	0.971	0.950	1.230	0.772	0.980
codec-U	U-deep-u-fixed32	decode	retain	1838.0	0.956	0.853	1.059	1.082	1.242	0.819	1.071
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt0	decode-read	drop						1.180		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt0	decode-read	retain						1.200		
codec-U	U-root-group	encode	drop	559.1	1.069	0.188	0.271		1.440	0.188	0.274
codec-U	U-root-group	encode	retain	559.1	1.069	0.222	0.289		1.303	0.222	0.289
codec-U	U-oneof-u-varint	encode	drop	108.0	1.036	0.216	0.414		1.916	0.207	0.408
codec-U	U-oneof-u-varint	encode	retain	108.0	1.036	0.259	0.426		1.647	0.244	0.427
codec-U	U-wire-ListProbeResponse-probes-as-wt5	decode-read	drop						1.108		
codec-U	U-wire-ListProbeResponse-probes-as-wt5	decode-read	retain						1.272		
codec-U	U-leaf-all	encode	drop	242.3	1.071	0.205	0.345		1.688	0.201	0.330
codec-U	U-leaf-all	encode	retain	242.3	1.071	0.292	0.417		1.429	0.287	0.418
codec-U	U-root-u-repeated	encode	drop	557.6	1.077	0.188	0.273		1.448	0.184	0.269
codec-U	U-root-u-repeated	encode	retain	557.6	1.077	0.220	0.287		1.306	0.216	0.283
codec-U	U-oneof-before	decode	drop	208.0	0.970	0.580	0.652	0.715	1.123	0.584	0.655
codec-U	U-oneof-before	decode	retain	208.0	0.970	1.115	1.764	1.843	1.582	1.105	1.778
codec-U	U-deep-u-repeated	encode	drop	1233.5	1.003	0.203	0.346		1.701	0.205	0.350
codec-U	U-deep-u-repeated	encode	retain	1233.5	1.003	0.235	0.367		1.563	0.235	0.368
codec-U	U-wire-ListResultsResponse-results-as-wt5	decode	drop						1.065		
codec-U	U-wire-ListResultsResponse-results-as-wt5	decode	retain						1.152		
codec-U	U-wire-UploadResultDataMessage-upload-as-wt0	encode	drop						0.973		
codec-U	U-wire-UploadResultDataMessage-upload-as-wt0	encode	retain						1.012		
codec-U	U-leaf-u-packed	decode-read	drop	312.2	0.987	0.784	0.839	0.875	1.070	0.792	0.846
codec-U	U-leaf-u-packed	decode-read	retain	312.2	0.987	0.873	1.123	1.160	1.286	0.892	1.127
codec-U	U-wire-ListResultsResponse-results-as-wt1	encode	drop						1.444		
codec-U	U-wire-ListResultsResponse-results-as-wt1	encode	retain						1.301		
codec-U	U-wire-ListResultsResponse-results-as-wt1	decode	drop						1.062		
codec-U	U-wire-ListResultsResponse-results-as-wt1	decode	retain						1.143		
codec-U	U-root-u-repeated	decode-read	drop	633.6	1.060	0.829	0.861	0.887	1.039	0.836	0.862
codec-U	U-root-u-repeated	decode-read	retain	633.6	1.060	0.939	1.007	1.022	1.072	0.937	1.008
codec-U	U-root-u-fixed64	decode	drop	599.0	1.038	0.817	0.858	0.875	1.050	0.818	0.852
codec-U	U-root-u-fixed64	decode	retain	599.0	1.038	0.846	0.971	0.995	1.148	0.850	0.968
codec-U	U-deep-u-packed	decode	drop	1997.6	0.989	0.797	0.956	0.933	1.200	0.785	0.952
codec-U	U-deep-u-packed	decode	retain	1997.6	0.989	0.839	1.022	1.036	1.219	0.836	1.023
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode	drop						1.141		
codec-U	U-wire-ListProbeResponse-probes-as-wt0	decode	retain						1.257		
codec-U	U-oneof-interleaved	decode	drop	203.3	0.979	0.592	0.664	0.731	1.122	0.579	0.659
codec-U	U-oneof-interleaved	decode	retain	203.3	0.979	1.160	1.794	1.878	1.547	1.218	1.766
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt5	decode-read	drop						1.181		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt5	decode-read	retain						1.185		
codec-U	U-nested-all	decode	drop	306.0	1.019	0.725	0.797	0.836	1.099	0.724	0.791
codec-U	U-nested-all	decode	retain	306.0	1.019	1.199	1.522	1.519	1.269	1.210	1.524
codec-U	U-enum-value-999	encode	drop	56.3	1.101	0.310	0.588		1.895	0.309	0.601
codec-U	U-enum-value-999	encode	retain	56.3	1.101	0.372	0.622		1.670	0.371	0.620
codec-U	U-oneof-u-fixed64	encode	drop	110.9	1.010	0.210	0.404		1.929	0.205	0.408
codec-U	U-oneof-u-fixed64	encode	retain	110.9	1.010	0.252	0.416		1.652	0.249	0.413
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	encode	drop						1.724		
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	encode	retain						1.561		
codec-U	U-deep-u-fixed64	decode-read	drop	2038.9	0.987	0.791	1.008	0.981	1.274	0.812	1.022
codec-U	U-deep-u-fixed64	decode-read	retain	2038.9	0.987	0.837	1.091	1.105	1.303	0.854	1.115
codec-U	U-leaf-u-varint	decode-read	drop	336.6	1.006	0.781	0.838	0.861	1.072	0.770	0.820
codec-U	U-leaf-u-varint	decode-read	retain	336.6	1.006	0.890	1.106	1.132	1.243	0.876	1.095
codec-U	U-root-u-varint	decode	drop	612.9	1.058	0.828	0.855	0.878	1.032	0.808	0.838
codec-U	U-root-u-varint	decode	retain	612.9	1.058	0.854	0.963	0.995	1.128	0.838	0.954
codec-U	U-nested-u-varint	decode	drop	298.1	0.990	0.759	0.829	0.875	1.092	0.749	0.813
codec-U	U-nested-u-varint	decode	retain	298.1	0.990	0.829	1.034	1.080	1.247	0.822	1.000
codec-U	U-root-before	decode-read	drop	711.1	1.047	0.811	0.828	0.862	1.021	0.812	0.834
codec-U	U-root-before	decode-read	retain	711.1	1.047	1.099	1.253	1.290	1.140	1.097	1.252
codec-U	U-oneof-all	encode	drop	114.4	0.987	0.203	0.395		1.945	0.211	0.415
codec-U	U-oneof-all	encode	retain	114.4	0.987	0.243	0.425		1.751	0.248	0.446
codec-U	U-nested-group	decode-read	drop	339.9	0.992	0.754	0.813	0.850	1.079	0.768	0.829
codec-U	U-nested-group	decode-read	retain	339.9	0.992	0.811	0.997	1.087	1.229	0.833	1.002
codec-U	U-root-u-msg	decode-read	drop	631.3	1.055	0.836	0.886	0.895	1.061	0.843	0.873
codec-U	U-root-u-msg	decode-read	retain	631.3	1.055	0.870	1.015	1.001	1.167	0.863	1.002
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt0	decode	drop						1.193		
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt0	decode	retain						1.200		
codec-U	U-oneof-u-packed	encode	drop	87.3	1.013	0.207	0.402		1.939	0.208	0.410
codec-U	U-oneof-u-packed	encode	retain	87.3	1.013	0.251	0.416		1.656	0.247	0.425
codec-U	U-nested-group	decode	drop	268.5	0.974	0.723	0.804	0.822	1.113	0.728	0.809
codec-U	U-nested-group	decode	retain	268.5	0.974	0.783	1.001	1.028	1.278	0.804	0.994
codec-U	U-oneof-u-msg	encode	drop	113.7	0.994	0.203	0.394		1.940	0.213	0.415
codec-U	U-oneof-u-msg	encode	retain	113.7	0.994	0.246	0.409		1.662	0.250	0.425
codec-U	U-element-u-repeated	encode	drop	1249.4	0.999	0.203	0.347		1.705	0.206	0.344
codec-U	U-element-u-repeated	encode	retain	1249.4	0.999	0.242	0.369		1.523	0.243	0.370
codec-U	U-wire-ListResultsResponse-page-as-wt1	decode	drop						1.040		
codec-U	U-wire-ListResultsResponse-page-as-wt1	decode	retain						1.115		
codec-U	U-root-u-fixed32	encode	drop	467.0	1.084	0.189	0.278		1.472	0.190	0.278
codec-U	U-root-u-fixed32	encode	retain	467.0	1.084	0.227	0.292		1.285	0.222	0.294
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	encode	drop						1.623		
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	encode	retain						1.493		
