# CONTAINER INSTRUMENTATION (gen/opt_bench.sh); ns per call = client process CPU (or wall) per round / calls in the round
file	transport	cell	dir	inflight	rounds	cpu_median_ns	cpu_min_ns	cpu_max_ns	wall_median_ns	wall_min_ns	wall_max_ns
rpc-pinned	pinned	C-retain	b	1	12	1106520.8	1017125.0	1353458.3	3326489.3	2881743.2	3821472.2
rpc-pinned	pinned	C-drop	b	1	12	1115250.0	1053291.7	1663666.7	3425852.5	2909215.5	4672234.6
rpc-pinned	pinned	D-retain	b	1	12	1161895.8	1088458.3	1275291.7	3463588.9	2943129.4	4096970.8
rpc-pinned	pinned	D-drop	b	1	12	1162687.5	1102083.3	2051416.7	3395634.3	2952773.2	4691937.6
rpc-pinned	pinned	A	b	8	12	2053229.2	1815708.3	2341958.3	2299336.6	1981582.2	2647407.8
rpc-pinned	pinned	B	b	8	12	1276583.3	1212291.7	1393375.0	2022751.0	1734829.3	2497417.6
rpc-pinned	pinned	C-retain	b	8	12	1062416.7	1004458.3	1355875.0	1910298.6	1756490.2	2138737.2
rpc-pinned	pinned	C-drop	b	8	12	1085812.5	996416.7	1428875.0	1902668.5	1615044.6	2322882.5
rpc-pinned	pinned	D-retain	b	8	12	1173125.0	1078416.7	1374708.3	1972057.6	1801841.2	2206862.6
rpc-pinned	pinned	D-drop	b	8	12	1071041.7	1027750.0	1335583.3	1847441.0	1620776.9	2144118.2
rpc-pinned	pinned	A	b	16	12	2157843.8	1923875.0	2376781.2	2328786.8	2067593.8	2576315.7
rpc-pinned	pinned	B	b	16	12	1305531.2	1158218.8	1414625.0	2032353.3	1774173.0	2793422.0
rpc-pinned	pinned	C-retain	b	16	12	1160234.4	1034406.2	1357312.5	1930471.0	1620484.3	2222397.2
rpc-pinned	pinned	C-drop	b	16	12	1309968.8	1199281.2	1499937.5	1984896.1	1746674.6	2332611.2
rpc-pinned	pinned	D-retain	b	16	12	1243031.2	1095500.0	1541843.8	1927696.1	1819650.5	2416222.9
rpc-pinned	pinned	D-drop	b	16	12	1216593.8	1125781.2	1624406.2	1901267.8	1673618.9	2314244.6
rpc-shipped-nounk	shipped	A	a	1	12	2392916.7	2054041.7	2470625.0	2711647.3	2364709.8	2968265.6
rpc-shipped-nounk	shipped	B	a	1	12	2016958.3	1675791.7	2101166.7	2261114.6	1902490.1	2487222.1
rpc-shipped-nounk	shipped	C-nounk	a	1	12	2144583.3	1785750.0	2310833.3	2504399.8	2021420.7	2711284.1
rpc-shipped-nounk	shipped	D-nounk	a	1	12	2206041.7	1870250.0	2282833.3	2665362.3	2124942.5	3168801.8
rpc-shipped-nounk	shipped	A	a	8	12	2873354.2	2441750.0	3137958.3	3031891.6	2449892.9	3297243.5
rpc-shipped-nounk	shipped	B	a	8	12	2828916.7	2327000.0	2937791.7	3039910.6	2379466.8	3631274.2
rpc-shipped-nounk	shipped	C-nounk	a	8	12	2991229.2	2604083.3	3347458.3	3154786.1	2633290.9	3860667.3
rpc-shipped-nounk	shipped	D-nounk	a	8	12	2955979.2	2696250.0	3441333.3	3041724.6	2745947.6	3589772.6
rpc-shipped-nounk	shipped	A	a	16	12	3088140.6	2874562.5	3266468.8	3187891.7	2923910.1	3845396.7
rpc-shipped-nounk	shipped	B	a	16	12	2939437.5	2760125.0	3247250.0	3022243.4	2815138.3	3623724.7
rpc-shipped-nounk	shipped	C-nounk	a	16	12	3326421.9	2924625.0	3509406.2	3534374.3	2958473.8	4152995.3
rpc-shipped-nounk	shipped	D-nounk	a	16	12	3347156.2	3088218.8	3505312.5	3566588.9	3207803.5	3916246.9
rpc-shipped-nounk	shipped	A	b	1	12	1792791.7	1648875.0	2003000.0	3917398.8	3273408.2	4681794.2
rpc-shipped-nounk	shipped	B	b	1	12	1276687.5	1151166.7	1388291.7	3165749.3	3039435.2	3505798.5
rpc-shipped-nounk	shipped	C-nounk	b	1	12	1090583.3	971041.7	1131916.7	3044598.4	2605715.5	3367659.0
rpc-shipped-nounk	shipped	D-nounk	b	1	12	1134458.3	1044750.0	1221666.7	3126730.8	2936293.7	3635319.3
rpc-shipped-nounk	shipped	A	b	8	12	1941708.3	1739666.7	2267083.3	2640988.0	2125456.1	3192584.1
rpc-shipped-nounk	shipped	B	b	8	12	1324666.7	1165875.0	1815708.3	2290335.6	1940337.6	3039067.6
rpc-shipped-nounk	shipped	C-nounk	b	8	12	1203250.0	1074583.3	1953416.7	2295670.8	1915969.0	3506049.0
rpc-shipped-nounk	shipped	D-nounk	b	8	12	1224562.5	1131250.0	1487750.0	2235247.6	2096506.4	2825498.1
rpc-shipped-nounk	shipped	A	b	16	12	1983953.1	1809125.0	2456781.2	2368149.3	2086229.6	3187146.5
rpc-shipped-nounk	shipped	B	b	16	12	1389671.9	1309468.8	1525093.8	2328537.3	2055136.9	2605182.5
rpc-shipped-nounk	shipped	C-nounk	b	16	12	1280703.1	1208562.5	1550187.5	2408324.8	2189196.1	2967538.3
rpc-shipped-nounk	shipped	D-nounk	b	16	12	1327250.0	1246281.2	1476687.5	2349494.9	2222668.5	2988446.8
rpc-shipped	shipped	A	a	1	12	2437083.3	2140291.7	2561541.7	2799454.5	2401626.1	3677224.0
rpc-shipped	shipped	B	a	1	12	2076458.3	1731583.3	2683875.0	2408454.6	1960476.7	3065686.0
rpc-shipped	shipped	C-retain	a	1	12	2198333.3	1907791.7	2419750.0	2596788.4	2121521.1	3212209.3
rpc-shipped	shipped	C-drop	a	1	12	2187062.5	2064375.0	2909625.0	2505417.7	2384063.9	3386959.7
rpc-shipped	shipped	D-retain	a	1	12	2258479.2	2063875.0	2341458.3	2598572.7	2346886.6	2735091.3
rpc-shipped	shipped	D-drop	a	1	12	2248604.2	1961583.3	2960791.7	2598381.4	2265863.0	3373095.6
rpc-shipped	shipped	A	a	8	12	2757270.8	2387500.0	2871875.0	2853700.4	2425711.9	3076903.2
rpc-shipped	shipped	B	a	8	12	2692395.8	2215625.0	3133958.3	2758487.2	2258502.4	5562568.7
rpc-shipped	shipped	C-retain	a	8	12	2576166.7	2254500.0	2916875.0	2691016.8	2309027.5	3164637.8
rpc-shipped	shipped	C-drop	a	8	12	2798395.8	2316041.7	3371166.7	2853408.3	2373785.8	3812011.2
rpc-shipped	shipped	D-retain	a	8	12	2579145.8	2151958.3	2911625.0	2691786.5	2193830.1	2963809.8
rpc-shipped	shipped	D-drop	a	8	12	2763645.8	2414583.3	2993833.3	2847241.0	2488085.0	3167229.0
rpc-shipped	shipped	A	a	16	12	3054484.4	2680093.8	3323656.2	3112805.5	2859327.3	3427818.2
rpc-shipped	shipped	B	a	16	12	2903265.6	2687500.0	3028625.0	2980730.7	2808478.8	3671122.2
rpc-shipped	shipped	C-retain	a	16	12	3061000.0	2977125.0	3351437.5	3148880.8	3041547.2	5416497.0
rpc-shipped	shipped	C-drop	a	16	12	3200546.9	3058875.0	3517250.0	3416267.8	3140916.8	4098872.5
rpc-shipped	shipped	D-retain	a	16	12	3047578.1	2746093.8	3259437.5	3169508.8	2924535.4	3371720.7
rpc-shipped	shipped	D-drop	a	16	12	3210203.1	2762781.2	3436562.5	3300932.8	2911296.5	3594645.6
rpc-shipped	shipped	A	b	1	12	1961812.5	1883750.0	2125375.0	4035011.5	3773956.9	4573432.1
rpc-shipped	shipped	B	b	1	12	1289000.0	1168125.0	1316541.7	3259342.9	3035885.9	3564188.2
rpc-shipped	shipped	C-retain	b	1	12	1069187.5	1028708.3	1117916.7	3035607.5	2934704.7	3379675.1
rpc-shipped	shipped	C-drop	b	1	12	1106833.3	1044000.0	1187666.7	3109783.7	2918220.7	3881396.2
rpc-shipped	shipped	D-retain	b	1	12	1153041.7	1064791.7	1203375.0	3122446.2	2935048.5	3681440.5
rpc-shipped	shipped	D-drop	b	1	12	1127166.7	1089291.7	1315958.3	3156848.5	2850366.9	3773285.0
rpc-shipped	shipped	A	b	8	12	2284437.5	1860333.3	2583166.7	2599099.7	2315475.3	3041659.9
rpc-shipped	shipped	B	b	8	12	1382041.7	1295166.7	1524541.7	2390460.7	2204199.4	3578040.9
rpc-shipped	shipped	C-retain	b	8	12	1214437.5	1112708.3	1331000.0	2252483.1	2020975.0	2426086.3
rpc-shipped	shipped	C-drop	b	8	12	1237041.7	1134333.3	1360416.7	2387649.0	2178327.0	2602076.7
rpc-shipped	shipped	D-retain	b	8	12	1248583.3	1118416.7	1462416.7	2309176.6	2052315.2	2658764.8
rpc-shipped	shipped	D-drop	b	8	12	1232270.8	1074750.0	1493541.7	2204557.9	1921542.4	2554958.8
rpc-shipped	shipped	A	b	16	12	2272640.6	2125500.0	2672218.8	2645973.2	2314880.5	3704204.5
rpc-shipped	shipped	B	b	16	12	1442812.5	1305187.5	1546093.8	2569639.8	2291503.6	2784737.5
rpc-shipped	shipped	C-retain	b	16	12	1277578.1	1151593.8	1474125.0	2492177.2	2083472.6	3253488.1
rpc-shipped	shipped	C-drop	b	16	12	1406203.1	1245937.5	1471187.5	2507927.9	2230210.3	2843386.6
rpc-shipped	shipped	D-retain	b	16	12	1411640.6	1246843.8	1743781.2	2662082.1	2311389.4	3726611.1
rpc-shipped	shipped	D-drop	b	16	12	1304187.5	1256250.0	1391750.0	2496693.7	2181845.1	3232803.2
